name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
Творог домашний 300 гр.Султан-Ата.,4870001029135,pcs,700,,,,
"Молоко Новый день 2,5 % 1 л.Тетрапак с крышка.",4870004711921,pcs,640,,,,
"Молоко Новый день 1,5 % 1 л.Тетрапак с крышка.",4870004711907,pcs,565,,,,
"Молоко Новый день 3,2 % 1 л.Тетрапак с крышка.",4870004711945,pcs,680,,,,
Молоко Новый день 6 % 1 л.Тетрапак с крышка.,4870004711969,pcs,750,,,,
"Молоко Новый день 2,5 % 1 л.",4870004710771,pcs,605,,,,
"Молоко Новый день 3,2 % 1 л.",4870004710795,pcs,620,,,,
Молоко Новый день 6 % 1 л.,4870004710818,pcs,690,,,,
"Молоко Просто 2,5 %",4870004711501,pcs,580,,,,
"Молоко Просто 3,2 %",4870004711525,pcs,625,,,,
Молоко Просто 6 %,4870004711549,pcs,655,,,,
Сырок творож глазирован в тёмном шок 23% 50 гр (12) Кизк,4602358005575,pcs,480,,,,
Сырок творож глазирован в мол.шок 23% 50 гр (12) Кизк,4602358005582,pcs,480,,,,
Сырок творож. глазирован бел. шок с карамелью 23% 50 гр (12) Кизк,4602358006992,pcs,480,,,,
Сырок творож глазирован Крем-Брюле Солёная карамель МДЖ 15% 40 гр (30),4810073009154,pcs,265,,,,
Сырок творож глаз Нежный кокос с наполнителем Кокос МДЖ 15% 40 гр (30),4810073009321,pcs,265,,,,
Сырок творож глазир  Шок-орех шок с напол Фундук в шок МДЖ 15% 40 гр (30),4810073009161,pcs,265,,,,
Сырок творож. глазирован Kurab'ye МДЖ 23% 65 гр (20),4810073008454,pcs,515,,,,
Сырок творож. глазирован. Моя столица на бискв. с наполн Ром МДЖ 23% 65 гр (20),4810073008423,pcs,525,,,,
Сырок творож. глазирован.на венской вафле МАЛИНА МДЖ 23 % 65 гр (20),4810073009093,pcs,515,,,,
Сырок творож. глазирован. на венской вафле ТРЮФЕЛЬ МДЖ 23% 65 гр (20),4810073007259,pcs,515,,,,
Сырок творож. глазирован. Пражский МДЖ 23% 65 гр (20),4810073007495,pcs,425,,,,
Сырок творож. глаз.на венской вафле ЧЕРНИКА МДЖИ 23% 65 гр (20),4810073007235,pcs,515,,,,
"Биойогурт клубника-банан со злаками, 1.5%, пюрпак, 450 гр.",4870005358958,pcs,575,,,,
"Биойогурт малина со злаками, 1.5%, пюрпак, 450 гр.",4870005358965,pcs,575,,,,
"Биойогурт чернослив со злаками, 1.5%, пюрпак, 450 гр.",4870005359207,pcs,550,,,,
"Воздушное суфле клубника-шоколад 2,5% пэт стакан 160 гр.",4870005359399,pcs,540,,,,
"Воздушное суфле Какос-шоколад 2,5% пэт стакан 160 гр.",4870005359382,pcs,540,,,,
"Йогурт ложковый Эмиль клубника 2,5% стакан 275 гр",4870005359368,pcs,510,,,,
"Йогурт ложковый Эмиль малина 2,5% стакан 275 гр",4870005359351,pcs,510,,,,
"Йогурт питьевой Эмиль вишня-черешня 1,5% пэт бут 900 гр",4870005359580,pcs,775,,,,
"Йогурт питьевой Эмиль Клубника 1,5% пэт бут 900 гр",4870005357241,pcs,830,,,,
"Йогурт питьевой Эмиль малина 1,5% пэт бутылка 900 гр",4870005357401,pcs,830,,,,
"Кефир, 2,5%, пюрпак, 450 гр.",4870005359009,pcs,480,,,,
"Кефир, 2.5%, пюрпак, 900 гр.",4870005358996,pcs,770,,,,
"Крепыш, 2.5%, пюрпак, 450 гр.",4870005359160,pcs,565,,,,
"Масло сливочное Крестьянское, 72.5%, контейнер, 200 гр.",4870005350587,pcs,"1,420",,,,
"Масло сливочное Крестьянское, 72.5%, фасованное 200 гр.",4870005350585,kg,"5,510",,,,
