Номенклатура,Штрихкоды,Ед.,Основной тип цен
Орешки цветные Вельмож,2500409800013,кг,"2,490"
Арахис Ассорти,2500409810012,шт,395
Пирожки с капустой,2500501620014,шт,200
Биляши,2500501640012,шт,270
Бургер,2500501650011,шт,500
Бауырсак Ип Балауса,2500503110018,кг,"1,380"
Сухари Ассорти 300 гр Gastronan,2000000012506,шт,430
Пахлава С ГРЕЦ ОРЕХОМ,2500507950016,кг,"2,370"
Подушечка кукурузная с шок начинкой,2500507960015,кг,925
Муравейник  Тирамису Пирамидка,2500507970014,кг,"2,785"
Хлеб Тыквенный Бездрож Gastronan,2000000007342,шт,690
Пряник Сапа Нан мал,2500709640012,шт,580
"Сосиски говяжьи ""А"" 500гр",4870254090203,шт,"1,390"
Сосиски молодежные 400гр,2500801200015,шт,490
Баурсаки,2500802150012,кг,"2,500"
Тесто дрожжевое WO,2500802430015,кг,"1,210"
Пирожки Ливерные WO,2500802450013,шт,270
Маленькие Пряники Сапа Нан,2500802600012,шт,645
Сэндвич TWO Bite с шоколадной начинкой 32гр/18,4780033020607,шт,125
Требуха WO,2500802860010,кг,700
Бауырсак WO,2500802980015,кг,"2,500"
Сандвичный Хлеб  Harri s Пшеничный с отрубями.,4605829006064,шт,780
Хлеб домашний WO,2500803790019,шт,280
Печенье чайное,4870066008878,кг,"5,125"
"""Картошка""",2500605100016,шт,"1,920"
"""Брауни""",2500605110015,шт,"1,200"
"""Меренга""",2500605120014,шт,"3,600"
Сэндвич Кебаб Романовский,4870231740947,шт,615
тесто дрожжевое на хлеб WO,2500804260016,шт,255
Булочки Мастер Колобок 280 гр,4870211070033,шт,575
Орешки и вафли,2500605790019,шт,"2,000"
Торт пирожное,2500605800015,шт,"2,000"
Вафли Сапа нан,480250818034,шт,645
Сосиски детские 400гр,4870254090364,шт,"1,040"
Хлеб юбилейный  Сапа Нан,4870001600341,шт,460
Пряник Творожный 3кг,2500805950015,кг,"1,340"
"Сэндвич ""Mexико""",4870231740954,шт,640
Печенье Юбилейное вес,2500807290010,кг,"1,115"
Драже BS Шоколадно-ореховое,2500807300016,кг,"2,000"
Балапан Сапа Нан,4870001600068,шт,170
Пирог Мясной,2500808440018,шт,"2,400"
Печенье BAYRAM CHOCO -Сахарн. печ,2500900480011,кг,"2,200"
Печенье Пампушки вес King,2500700770015,кг,"3,190"
Печенье Арабика вес King,2500700780014,кг,"1,595"
Печенье Топленое молоко вес,2500700790013,кг,"1,690"
McVities Choco Cream 90gr,4870112007404,шт,260
Самса мини,2500901300011,шт,250
Синнабон,2500901730016,шт,300
Karavela Килька с ключом в т/с №3 240г,4751007731386,шт,"1,080"
Пончики Пальчики (Белая сгущенка),2500703020018,кг,"2,625"
Пряник Королевская Зебра,2500703030017,кг,"2,125"
Пончик сгущенка йогурт МИНИ,2500703040016,кг,"2,805"
Зефир Тропический FRESH (МАНГО) 150гр,4640017176532,шт,480
Зефир Банановый FRESH 150гр,4640017176457,шт,480
Зефир Экзотик FRESH (МАРАКУЙЯ) 150гр,4640017176525,шт,480
Токаш Мастер колобок,4870211070132,шт,565
"Ваф ТМ ""Му и Ну""молочное 0,070кг 12уп.*6ш/б",4680040414645,шт,330
Вафельный Пломбир мини (чипсы)  200гр/8,4780111073402,шт,975
Булочка WO,2500907630013,шт,180
Биляши духовые,2500907740019,шт,300
Королевская Ватрушка WO,2500907760017,шт,"3,200"
Королевская Ватрушка WO шт,2500907920015,шт,500
Пирожки капуста+Мясо  WO,2500907930014,шт,300
"Ваф ТМ ""Му и Ну""",2500908160014,кг,"4,045"
Сметанник 20см WO,2500908480013,шт,"1,300"
Пирог с творогом  22см WO,2500908500018,шт,"1,800"
Хлеб Цельнозерновая ТАРТИН,762497141733,шт,640
Хлеб Классический ТАРТИН,762497141719,шт,580
Хлеб 4-Семечки ТАРТИН,762497141702,шт,700
Хлеб Солодовый ТАРТИН,762497141726,шт,580
Пирог с творогом 24см WO,2500908650010,шт,"2,300"
Пирог с творогом  20см WO,2500908660019,шт,"1,400"
Сметанник 22см WO,2500908720010,шт,"1,700"
Сметанник 24см WO,2500908730019,шт,"2,000"
Karavela Килька с ключом в т/с с паприкой №3 240гр,4751007736107,шт,"1,270"
Karavela Килька с ключом в т/с с ЧИЛИ №3 240гр,4751007736091,шт,"1,270"
Пирог Лимонник 22см WO,2500908910015,шт,"3,000"
Пирог с капустой и мясом,2500908930013,шт,"1,800"
Пирог Лимонник шт,2500908960010,шт,600
Сэндвич STRIPS с сырным соусе,4870231741043,шт,655
Тесто дрожжевое 700гр WO,2500909550012,шт,500
Кондитерка,,,
ЗЕФИР NEO botanica c кус  брусники 250гр,4605516020113 4605516027846,шт,"1,260"
ЗЕФИР NEO botanica черника черная смородина 250гр,4605516025958 4605516027884,шт,"1,260"
НЕСТЛЕ конфеты в молочном шоколаде  кг,111,кг,"6,100"
"Паста Super Duo""Бурешка"" 350г с",4603825001434 4603825001120,шт,"1,310"
"Паста шок-мол ""Бурешка""350гр пл",4603825001182,шт,"1,095"
"Страйпс Jellies Stripes, моно, 10 г",8901393024531,шт,135
Конфеты Меллер банан 8*24*38гр,46266507,шт,355
Кофета Mentos Мята 12x24x37g,46254931,шт,355
Кофета Mentos Радуга 12x24x37g,46264077,шт,390
Кофета Mentos Свежая кола 12x24x37g,46254955,шт,355
Мармелад жеват Fruittella Медвежата 30*70г,4602606003711,шт,490
Мармелад жеват Fruittella Звери Микс 30*70г,4602606003759,шт,490
Мармелад жеват Fruittella Змеи XXL 30*70г,4602606003728,шт,490
"Мармелад жеват Fruittella  Крутой Микс, 70 г",4602606012577,шт,490
Меллер Солёная Карамель 8х24x38г,4602606014632 46230966,шт,355
Меллер Шоколад 8*24*38гр,46040145,шт,355
Трапеза Сухари сдоб. ван. 200 гр,4870059001046,шт,720
Трапеза Сухари сдоб. мол. 200 гр,4870059000124,шт,720
Трапеза Сухари сдоб. с изюмом 200 гр,4870059000100,шт,720
Трапеза Сухари сдоб. с маком 200 гр,4870059000094,шт,720
Трапеза Сухари сдоб. с орехом 200 гр,4870059000117,шт,720
Трапеза Сухари сдоб. со сгущ. 200 гр,4870059001053,шт,685
"Трапеза Сушка ""Малютка"" с маком 200 гр",4870059000087,шт,655
"Трапеза Сушка ""чайная"" 350 гр",4870059000032,шт,900
Трапеза Сушка с ванилью 350 гр,4870059000049,шт,900
Трапеза Сушка с маком 350 гр,4870059000056,шт,935
Трапеза Сушка со сгущ. 350 гр,4870059001152,шт,920
НЕСКВИК НапШок Спарта МБ 24x110г,8445290453075,шт,"1,320"
НЕСКВИК Напиток шоколадный МБ 12х200г,8445290521408,шт,"1,940"
Завтрак NESQUIK Cereal Bag 8x125g N2 X8,5900020031587,шт,"1,050"
Завтрак NESQUIK Cereal Bag 24x225g N2 X8,5900020023698,шт,"1,745"
Завтрак NESQUIK Cereal Bag 15x460g N2 X8,5900020031723,шт,"3,215"
"Минеральная вода ""Боржоми"" 0,75л пэт",4860019001414,шт,650
Халва подсолнечная  275гр,4870066000636,шт,420
Халва подсолнечная с арахисом и изюмом 275 г,4870066002869,шт,450
Халва подсолнечная с изюм арахис 275гр,48700660028691,шт,
Печенье Яблочко Рахат  пп/п 500гр,4870099002591,шт,800
Вафли Рахат Вареная сгущенка ф/пчк 400гр (9),4870099003604,шт,865
Вафли Рахат Какао пп/пчк 400гр(9),4870099002980,шт,865
Вафли Рахат карамельные ф/пчк 400 гр,4870099002379,шт,865
Вафли Рахат шоколадно-сливочные пп/пчк 400гр,4870099000115,шт,865
Вафли Рахат Арахисовые ф/пчк 110гр. (48),4870036007443,шт,350
Вафли Рахат Артек ф/пчк 110гр (48),4870036007214,шт,315
Вафли Рахат Белоснежка ф/пчк 110rp (48),4870036007023,шт,350
Вафли Рахат На здоровье ф/чк 110гр (48),4870036007542,шт,390
Вафли Рахат шоколадные ф/пчк 110гр (48),4870099002560,шт,300
"Печ Рахат Арман пп/пчк 0,185 (30)",4870099003062,шт,270
"Печ Рахат Жетысу ф/пчк 0,185гр. (30)",4870099000931,шт,270
"Печ Рахат коктем ф/тчк 0,185 (30)",4870099000993,шт,270
Печ Рахат Сдобное Rakhat Bakery шок-слив вкусом пп/пчк 165гp(8),4870099003505,шт,580
Печ Рахат Сдобное Rakhat Bakery с кус арахиса пл/пчк 155гр(8),4870099003406,шт,580
Печ Рахат Сдобное Rakhat Bakery со вкус сгущ молока пп/пчк 135гр (8),4870099003383,шт,580
Печ Рахат Сливочное пп/пчк 220гр (22 шт),4870099003154,шт,320
Рахат ПечLOTTE Чоклет Пай Какао х/к 168гр,4607176440775,шт,740
Рахат ПечLOTTE Чоклет Пай Какао х/к 336гр,4607176440782,шт,"1,475"
Рахат ПечLOTTE Чоклет Пай с аром Банана х/к 336 гр,4607176441055,шт,"1,200"
Рахат ПечLOTTE Чоклет Пай х/к 448 гр,4607176441413,шт,"1,900"
Вафли Рахат Арахисовые т/пл вес,1,кг,"2,170"
Вафли РахатСюрприз в т/пл вес (5),4,кг,"2,300"
"Драже Золотой орешек Рахат (пп/пкт 0,05)",4870082005035,шт,220
Ирис Ботагоз Рахат вес,61,кг,"1,875"
Ирис Купия килт Рахат вес,5,кг,"1,875"
Ирис кис Мяу Рахат вес,6,кг,"1,875"
ИрисФруктовый Сад Рахат вес,7,кг,"1,875"
Кар Абрикос Рахат вес,8,кг,"1,505"
Кар Айналайын Рахат вес,9,кг,"1,965"
Кар Алматинский Зазнайка Рахат вес,10,кг,"2,265"
Кар Апельсин Рахат вес,11,кг,"1,505"
Кар Со вкусом барбариса Рахат вес,12,кг,"1,655"
Кар Взлетная Рахат вес,13,кг,"1,655"
Кар Вишня Рахат вес,14,кг,"1,505"
Кар Карга га га Рахат вес,15,кг,"2,265"
Кар Дубок Рахат вес,16,кг,"1,570"
Кар Дюшес Рахат вес,17,кг,"1,655"
Кар Клубника со сливками Рахат вес,18,кг,"1,570"
Кар Коралл Рахат вес,19,кг,"2,265"
Кар Кузнечик Рахат вес,20,кг,"2,265"
Кар Лимон Рахат вес,21,кг,"1,505"
Кар Малина со сливками Рахат вес,22,кг,"1,570"
Кар Му Му Рахат вес,23,кг,"1,570"
Карамель Рахат вес,24,кг,"2,525"
Кар Рачки Рахат вес,25,кг,"2,265"
Кар Слива Рахат вес,26,кг,"1,505"
Кар Снежинка Рахат вес,4870036007085,кг,"2,030"
Кар Каракат Рахат вес,28,кг,"1,505"
КонAllegro Рахат 180 гр,4870036008426,шт,"1,420"
Кон Ажар  Рахат вес,29,кг,"3,605"
Кон Ажар Рахат 175 гр,4870036004275,шт,"1,300"
Кон Алтын кум Рахат вес,30,кг,"4,485"
Кон Арахисовые Рахат вес,31,кг,"2,470"
Кон Арман Рахат 420 гр,4870208433971,шт,"2,115"
Кон Астана Рахат 500 гр,4870036003902,шт,"4,285"
Кон АстанаРахат вес,32,кг,"4,630"
Кон Белочка Озарница Рахат вес,33,кг,"4,665"
Кон Блюз Рахат вес,34,кг,"3,605"
Кон Буревестник Рахат вес,35,кг,"2,630"
Кон Василек Рахат вес,36,кг,"2,630"
Кон Вечер Рахат вес,37,кг,"3,010"
Кон Гармония Рахат вес,38,кг,"4,155"
Кон Грильяж в шоколаде Рахат вес,39,кг,"3,830"
Кон гулдер Рахат вес,40,кг,"2,630"
Кон Колосок Рахат вес,41,кг,"2,470"
Кон Куттыктаймыз Рахат 270 гр,4870082004663,шт,"1,835"
Кон Ласточка Рахат вес,42,кг,"2,630"
Кон Лето Рахат вес,43,кг,"2,815"
Кон Любимые Рахат вес,44,кг,"2,630"
Кон Маки Алатау Рахат веc,45,кг,"3,605"
Кон Маска Рахат вес,46,кг,"3,960"
Кон Мишутка Рахат вес,47,кг,"4,160"
Кон Молочно вафельный Рахат вес,48 4870036001878,кг,"2,580"
Кон Отырар Рахат вес,49,кг,"3,475"
Кон Шоколад Рахат Рахат вес,50,кг,"4,155"
Кон Сказки детства Рахат вес,51,кг,"3,800"
Кон Цитрон в п/п пл Рахат вес,52,кг,"2,630"
Кон Шоколадно вафельный Рахат вес,53,кг,"2,470"
Кон Южная Ночь Рахат вес,54,кг,"2,815"
Печо Almond Pepero х/к 36гр,8801062636358,шт,650
ПечоРерего snowy almond x/x 32гр,8801062015337,шт,650
ПечоРерего White Cookie x/к 32гр,8801062880140,шт,650
Печ LOTTE Чоклет Пай со вк. клубники х/к 168гр,4607176441390,шт,735
Печ LOTTE Чоклет Пай х/к 168гр,4607176440522,шт,740
Печ LOTTE Чоклет Пай х/к 336гр,4607176440539,шт,"1,560"
Печ Алматинское Рахат вес,55,кг,"1,225"
Печ Детское Рахат вес,56,кг,"1,265"
Печ Жастар Рахат вес,57,шт,"1,225"
Печ Сливочное Рахат вес,58,кг,"1,225"
Печ Шоколадное Рахат вес,59,кг,"1,345"
Печ Яблочко Рахат вес,60,кг,"1,265"
Шоколад Казахстан Рахат 20гр,4870036003582,шт,220
Шоколад Казахстанский Рахат 100гр,4870036001205,шт,950
Шоколад  На здоровье с молоком Рахат 20гр,4870036005692,шт,255
Шоколад на здоровье Рахат с тертым орехом 50гр,4870036005715,шт,630
"Шоколадно-ореховый крем ""Рахат""270гр",4870208437818,шт,"1,225"
"Шоколадно-ореховый крем ""Рахат""470гр",4870208433650,шт,"1,755"
"Шоколадно-ореховый крем ""Рахат"" с фундуком 270гр",4870208437825,шт,"1,510"
"Шоколадно-ореховый крем ""Рахат"" с фундуком 470гр",4870208435265,шт,"2,280"
Вафли Рахат Белоснежка вес,2500104950013,кг,"2,460"
"ВафРахат фундучные вес (4,5)",2500104970011,кг,"2,155"
Ваф.Яшкино 200 гр арахисовые.,4670161190528,шт,435
Ваф.Яшкино 300гр Шокол,4607015232653,шт,640
"Вафельн батончик  O""Zera молоч шок 23гр",4620017456889,шт,75
"Вафельн батончик  O""Zera молоч шок орех 23гр",4620017456902,шт,75
Вафельные рулетики Яшкино со вкусом шокалада 160 гр,2502201950019,шт,310
Вафельные трубочки Яшкино 190 г со сгущенкой,4607035653315,шт,440
"Вафли ""Тонкие"" с какао и молоч. кремом Яшкино 144гр",4680021887321,шт,480
"Вафли ""Тонкие"" с клубнич  кремом Яшкино 144гр",4680021887314,шт,380
"Вафли ""Тонкие"" с кокосовым кремом Яшкино 144гр",4680021887307,шт,405
Вафли Ореховые глазир Яшкино 200 гр,4607015234497,шт,565
Вафли Ореховые Яшкино 200 гр,4607015232561,шт,395
Вафли Ореховые Яшкино 300 гр,4607015232646,шт,625
"Вафли сиропные Яшкино карамель 290гр ,м/у",4607035653513,шт,605
Вафли Сливочные Яшкино 300 гр,4607015232660,шт,585
Вафли Яшкино  шоколадно- банановые 200 гр,4670161190504,шт,325
Вафли Яшкино FUNBanan 35гр,4680021883828,шт,130
"Вафли Яшкино в шоколадной глазури 200гр ,м/у",4607015232868,шт,610
Вафли Яшкино вареная сгущенка 200гр,4607015232592,шт,410
"Вафли Яшкино вареная сгущенка 300гр ,м/у",4607015232677,шт,610
Вафли Яшкино Голландские 290гр,4607035653582,шт,630
Вафли Яшкино Джумка с мягк. карамелью 37 гр,4680021882296,шт,160
Вафли Яшкино Зебра с молочной глазури 40 гр,4607015239485,шт,190
"Вафли Яшкино Лимон Лайм 300гр ,м/у",4607015234633,шт,600
"Вафли Яшкино мягкие варен сгущ 120гр ,м/у",4680021881855,шт,390
"Вафли Яшкино мягкие с вишневым джемом 120гр ,м/у",4680021881862,шт,390
"Вафли Яшкино мягкие с шоколад кремом 120гр ,м/у",4680021881879,шт,390
"Вафли Яшкино мягкие яблоко корица 120гр ,м/у",4680021887994,шт,370
"Вафли Яшкино мягкие яблоко корица 40гр ,м/у",4680021888007,шт,90
Вафли Яшкино начинка с вареной сгущенкой 290гр,4680021887826,шт,630
Вафли Яшкино С какао шоколадные 200 гр,4670161190481,шт,475
Вафли Яшкино сливочные 200гр м/у,4607015232585,шт,400
Вафли Яшкино сэндвич 180гр,4607035653957,шт,530
"Карамель Страйк Яшкино ассорти 11,3гр",4620017450726,шт,25
"Карамель Страйк Яшкино кола-вищня-дыня 11,3гр",4620017452010,шт,25
Конфета Батончик Крокант 28 гр,4607109843895,шт,60
Конфета Крокант 180гр,4607109843376,шт,410
Конфеты Крокант 500гр,3052,шт,870
Тараллини  NINA FRINA 180гр м/у,4620017453130,шт,400
Тараллини  NINA FRINA с томатом 180гр м/у,4620017453147,шт,400
Крекер Яшкино 350гр Класс,4603290004077,шт,385
Крекер Яшкино Золотая рыбка 360гр м/у,4607035653605,шт,390
Крекер Яшкино с кунжутом Smart Formula 180гр,4603290004756 2500000000164,шт,245
Крекер Яшкино с солью 125гр,4620017451204,шт,155
Мини Краусаны Яшкино клубничный джем 180гр м/у,4607015236316,шт,670
Мини Краусаны Яшкино со сливочным кремом180гр м/у,4607015236323,шт,670
Мини Краусаны Яшкино шоколадным кремом 180гр м/у,4607015236309,шт,670
Печ. зат. TONDI Сэндвич с шоколад 190 гр,4603290004831,шт,315
Печ.зат. TONDI Сэндвич с шок. слив.вк. 190г,4603290004848,шт,315
Печенье  Яшкино Сэндвич Fan Banan 220гр,4603290004800,шт,370
Печенье  Яшкино цельно зерн молочн шок 130гр,4630026561801,шт,210
Печенье  Яшкино цельно зерн овсяное 300гр,4630026561832,шт,285
Печенье глазир Яшкино Вихарек 155гр,4630026561955,шт,350
Печенье глазир Яшкино Чайное 350гр,4630026561856,шт,700
Печенье Дженс 180гр,4603290003520,шт,475
Печенье овсяное 350\8,4607015234398,шт,550
Печенье Сахарное Яшкино злаковые 250гр,4670161190429,шт,335
Печенье Сахарное Яшкино со вкусом шоколад 170гр,4680021887833,шт,345
Печенье сэндвич FORSITE с шокол глазури 220гр,4603290004855,шт,430
Печенье сэндвич FORSITE с шокол орех 220гр,4603290004862,шт,445
Печенье Яшкино STIX 130 гр палочки в молоч.шоколаде,4630026561825,шт,665
Печенье Яшкино Американское с каплями 200гр м/у,4680021880490,шт,535
Печенье Яшкино Апельсин сдобное 137гр м/у,4607015235760,шт,370
Печенье Яшкино сахарное Молочное 250гр,4620017459798,шт,425
Печенье Яшкино со вкусом пломбира 220гр,4680021887796,шт,350
Пряники Яшкино в сахарной шоколадной глазури 350гр м/у,4607015235364,шт,540
Пряники Яшкино Классичекие 350гр м/у,4607015235357,шт,570
Пряники Яшкино с вареной сгущенко  350гр м/у,4607015235333,шт,750
Пряники Яшкино Шоколадные 350гр м/у,4607015235401,шт,730
"Рулет Ваф Яшкино со вкус сгущенка 160гр ,м/у",4607035653278,шт,420
Рулет Яшкино Redcar Маскарпоне 200гр м/у,4603290004749,шт,555
Рулет Яшкино Вареная сгущенка бисквитный 200гр м/у,4603290002882,шт,500
Рулет Яшкино Вишневый  бисквитный 200гр м/у,4603290002912,шт,500
Рулет Яшкино глазир Мэлори клубничные 200гр м/у,4603290004336,шт,495
Рулет Яшкино Какао бисквитный 200гр м/у,4603290005524,шт,560
Рулет Яшкино Клубника со сливками бисквитный 200гр м/у,4603290003285,шт,500
Рулет Яшкино Черничный бисквитный 200гр м/у,4603290002905,шт,500
Рулет Яшкино Шоколадный бисквитный 200гр м/у,4603290003889,шт,500
Тараллини Яшкино  240 гр классические КК,4620017458517,шт,485
Тараллини Яшкино 180 гр цельнозерновые  КК,4620017458524,шт,400
ТОРТ  Яшкино вишневый джем с шоколадным кремом 500гр,4607015238020,шт,"1,785"
Торт ваф Ореховый глазир Яшкино 250 гр,4680021880377,шт,685
Торт ваф.глазир.Яшкино шок. с фундуком 250 гр,4670161190580,шт,925
Шоколад Яшкино молочный 90 гр,4690329005402,шт,475
Шоколад Яшкино молочный с арахисом 90 гр,4690329005693,шт,425
Шоколадмолочн Яшкино взр карамель 90гр,4690329013711,шт,470
Яшкино вафли шоколадные 200 гр,4607015232578,шт,430
Яшкино печенье Бонффети 200 гр,4680021887758,шт,500
Яшкино печенье Ванильное кольцо 180гр,4680021887772,шт,345
Яшкино печенье сдобное какос 200 гр,4620017458531,шт,480
Яшкино печенье сдобное Клубника 137 гр,4607015235784,шт,370
Яшкино печенье сдобное Курабье 180 гр,4680021887765,шт,405
Яшкино пряники с вишневой начинкой 350 гр,4607015235302,шт,675
Яшкино пряники с мятные 350 гр,4607015235388,шт,545
Конфеты Раффаэлло с минд. орехом 150 г,8000500023976,шт,"2,560"
"Конфеты Раффаэлло с минд, орехом 90 г",8000500232057,шт,"2,240"
Конфеты Раффаэлло с минд. 240г,5413548040479,шт,"3,725"
Конф. Раффаэлло с минд орехом 200 г торт,4607086410493,шт,"4,170"
Конф. Раффаэлло с минд орехом 100 гторт,8000500078617,шт,"2,535"
Конфеты Раффаэлло с минд орехом 70 г,8000500313138,шт,"1,445"
Ферреро Роше Т6X8,8000500365007,шт,"1,895"
Киндер Сюрприз для девочек Т36,80741251,шт,730
Киндер Сюрприз стандарт 136,40084107,шт,730
Киндер Јоі Т1*24,80310891,шт,870
Киндер Буено Т2*30,80052760,шт,530
Киндер Делис Т1x20,80052463,шт,465
"Шоколад молочный Киндер Кантри 23,5 г",40084176,шт,370
Киндер шоколад Т4,80177609,шт,630
Киндер шоколад Т8,40084701,шт,"1,200"
"Паста орех, с какао Нутелла 630гр",59032823,шт,"4,445"
"Паста орех, с какао Нутелла 350гр",80177173,шт,"2,675"
Паста орех. с какао Нутелла 180гр,80177425,шт,"1,910"
Вафельный батончик Нутелла Б-реди 1x10x2,8000500224281,шт,370
Киндер шоколад Макси Т1,40084077,шт,255
Albina Слоеный торт-бисквит ВАНИЛЬ 20 гр,6261149040461,шт,90
Albina Слоеный торт-бисквит ФУНДУК 20 гр,6261149040485,шт,90
"Albeni Bites печенье с карам, ток. с кр печенья 500гр",4870112001006,шт,"2,600"
"Albeni nev. с карам. апел., крем, покр.мол, шок. 85гр",4870112006346,шт,520
"Albeni Chocolate neченье арам, покр мол. шок. 85гр",4870112006476,шт,605
"Albeni nеч. крем лес, ореха, покрыт молочнок. 85гр",4870112006353,шт,605
"Albeni new, с клуб. и йогурт, крем, покр.мол. шок. 85г р",4870112007596,шт,520
"Albeni Petits Hazelnut Gifting, Box 192гр",4870112006377,шт,"2,550"
"Albeni round печенье с карам, мол. шок. 40гр",4870112003918,шт,"1,615"
"Albeni Bites печенье с карам, в мол.шок. с кр. печенья 170гр",4870112005370,шт,800
"ALBENI TANE TANE печенье с к, покр мо шок (драже) 37гр",4870112002805,шт,250
Kremika Vanilla 70гр,4870002233210,шт,140
Печенье Biscuits Biskrem Dark 180гр,4870112006445,шт,485
Паченье Бискрен Какао 180гр,4870112002782,шт,545
Печенье Бискрен Какао 100гp,4870112002768,шт,315
Печенье Kremiks Strawberry 70гр,4870002233180,шт,140
Печенье Halley Strawberry 240гр,4870112007428,шт,"1,170"
Печенье Biscuit Balley Sandwich Cocons 280гр,4870112006971,шт,"1,275"
Печенье Laviva Milky Cream 35г батон,4870112007039,шт,150
Печенье Kekstra Mini Jolebol 150гр Cream and Strawberry Souce,8690766082307,шт,780
"Biscuit Halley Sandwich (10pc), 280гр",4870112006711,шт,"1,060"
Halley Mini Granules 66гр,8690504039778,шт,340
"Наша Марка"" печенье 190 ггр",4870112001914,шт,225
Печенье Dankek Mini Tart Choc 150гр  Glaze and Strawberry Juice,8690504082392,шт,835
Kanky Chocolate Bar 35грChocolate Bar,4870112007718,шт,160
Шоколад Laviva Classic278гр,8690504065272,шт,"2,860"
Шоколад Dankek Donut Cake Dark 45гр Glaze and Dark Choco Souce,8690766103491,шт,210
Шоколад Dankek Donut Cake Dark 55гр Glaze with Dark Choco Sauce,8690504065661,шт,235
Шоколад Laviva Mini Bag 349.6гр,8690766153045,шт,"2,705"
"Печенье McVitie's Digestive Original, To Go 29,4гр КОР",4870112004137,шт,465
Шоколад Dankek @kek Derries 55гр,8690504063476,шт,235
Шоколад Dankek Bkek Banana  55гр,8690504063223,шт,235
"Печенье McVitie's Digestive Milk Choco, late To 33гр",4870112004144,шт,740
"Печенье Mcvities Digestive Biscuit wit, h Milky",4870112007381,шт,260
Печенье Dore Vanilla sandwich biscuits with cream,4870112007640,шт,210
Печенье Dore Cocoa sandwich biscuits with cream 73гр,4870112007633,шт,210
"Печенье McVitie's Digestive Original, Bulk 29,4гр",4870112003468,шт,95
"Печенье McVitie's Digestive Milk Choco, late Bulk 33,3гр",4870112003482,шт,150
"Печенье Dore Strawberry73gx1x24, sandwich biscuits with cream,",4870112007626,шт,210
"Шоколад ""Albeni"" XXL, покр. мол. шок. 70гр",4870112002973,шт,420
Печенье McVities Tartlet Choco 100гр,8690504084747,шт,420
"Albeni super печенье с каран, покр. мол. шок. 55г",4870112003956,шт,335
Шоколад Albeni Latte 36гр,4870112008012,шт,250
"Печенье с карам Albeni покр, мол.шок. 40гр",4870112003925,шт,250
"Печенье Dore Banana 73гр sandwich biscuits with cream,",4870112007619,шт,210
Шоколад Milka 80r Bubbles молочный пористый,7622300789114,шт,845
Шоколад Milka 97r Bubbles молочный пористый с кокосовой начинкой,7622210786647,шт,845
Шоколад Milka 97r Bubbles молочный пористый со вкусом капучино,7622202396076,шт,910
Шоколад Милка 87г с печеньем ЛУ,7622210451255,шт,"1,380"
Шоколад Милка 87г с солёным крекером ТУК,7622210451224,шт,"1,400"
Шоколад Милка 92г. с круглым печеньем «Орео»,7622210832498,шт,"1,510"
Шоколад Милка 31г Ваффелини Чокомакс,7622210713315,шт,265
Шоколад Milka 110г конфеты молочный шоколад с крем молоч нач,7622201406813 7622201410407,шт,"2,730"
Шоколад Milka 110г конфеты молочный шоколад с ореховой начинкой,7622201408145,шт,"2,255"
Шоколад Милка 300г Toffee целый орех и карамель,7622210924568,шт,"2,815"
Шоколад Milka 300г со вкусом чизкейка и клубники,7622210679376,шт,"2,720"
Шоколад ПИКНИК Спец. цена 48гр шоколад,7622201711825,шт,400
Шоколад АГ Макс Фан 150г Тропик,7622202011085,шт,"1,385"
Шоколад АГ Макс Фан 150г с фруктово-ягодными кусочками,7622202011054,шт,"1,380"
"Шоколад АГ МаксФан 150г мол карамель, марм, печ",7622201449261,шт,"1,325"
Шоколад АГ МаксФан 150г Дикая Вишня,7622201809065,шт,"1,380"
Шоколад АГ 80г Темный классический,7622201449117,шт,500
Шоколад АГ 80 Молочный пористый,7622201456306,шт,645
Шоколад АГ 80 Белый пористый,7622201457525,шт,645
Шоколад АГ 90г Орео с ванилью и печеньем,7622201778484,шт,645
Шоколад АГ 90г Орео со вкусом чизкейка и печенья,7622201778545,шт,645
Шоколад АГ 90г Орео Молочный с кусочками печенья,7622201493820,шт,645
Шоколад АГ 80г Молочный,7622202395659 7622201450564 7622201695927,шт,730
Шоколад АГ 80г Мол с Фундуком,7622202395697,шт,730
Шоколад АГ 80г Белый с Миндалем и Кокосом,7622201450533,шт,645
Шоколад АГ 80г Мол Фундук и Изюм,7622202397318 7622201448707,шт,795
Шоколад АГ 80г молочный с клубнично-йогуртовой начинкой,7622201706289,шт,645
Шоколад АГ 80г молочный с чернично-йогуртовой начинкой,7622201700553 7622202035494,шт,730
Шоколад АГ 80г Арахис и Кукуруз. хлопья,7622201696078,шт,795
Шоколад Воздушный 85г Белый,7622210343161,шт,645
Шоколад Milka 90г молочный с цельным фундуком,7622202395895,шт,"1,055"
Шоколад Milka 90г Молочный,7622210308092,шт,845
Шоколад Milka 90г молочный с цельным миндалем,7622210308139,шт,960
Шоколад Milka 90г Молочный с двухсл начин клубника-сливки,7622300437848,шт,845
Шоколад Milka 80г Молочный,7622202395956,шт,"1,300"
Шоколад Milka 80г молочный  с фундуком,7622202396014,шт,"1,510"
Дирол X-Fresh Арбузный лед 16г,46164292,шт,310
"Дирол X-Fresh Мандарин, 16 гр жев.рез. б/с",46165411,шт,310
Дирол X-Fresh черника цитрус 16г,57023861,шт,310
"Дирол XXL Ассорти фруктовых вкусов, 19г жев.рез. б/с",7622201685881,шт,280
