Номенклатура,Штрихкоды,Ед.,Основной тип цен
Курт Домашний вар Айжан ИП,2500204550014,кг,"5,500"
Курт Домашний сол  Айжан ИП,2500204560013,кг,"4,250"
Сметана домашний 285 гр. Султан-Ата.,4870001029487,шт,"1,140"
Творог домашний 300 гр.Султан-Ата.,4870001029135,шт,700
"Молоко Новый день 2,5 % 1 л.Тетрапак с крышка.",4870004711921,шт,640
"Молоко Новый день 1,5 % 1 л.Тетрапак с крышка.",4870004711907,шт,565
"Молоко Новый день 3,2 % 1 л.Тетрапак с крышка.",4870004711945,шт,680
Молоко Новый день 6 % 1 л.Тетрапак с крышка.,4870004711969,шт,750
"Молоко Новый день 2,5 % 1 л.",4870004710771,шт,605
"Молоко Новый день 3,2 % 1 л.",4870004710795,шт,620
Молоко Новый день 6 % 1 л.,4870004710818,шт,690
"Молоко Просто 2,5 %",4870004711501,шт,580
"Молоко Просто 3,2 %",4870004711525,шт,625
Молоко Просто 6 %,4870004711549,шт,655
Сырок творож глазирован в тёмном шок 23% 50 гр (12) Кизк,4602358005575,шт,480
Сырок творож глазирован в мол.шок 23% 50 гр (12) Кизк,4602358005582,шт,480
Сырок творож. глазирован бел. шок с карамелью 23% 50 гр (12) Кизк,4602358006992,шт,480
Сырок творож глазирован Крем-Брюле Солёная карамель МДЖ 15% 40 гр (30),4810073009154,шт,265
Сырок творож глаз Нежный кокос с наполнителем Кокос МДЖ 15% 40 гр (30),4810073009321,шт,265
Сырок творож глазир  Шок-орех шок с напол Фундук в шок МДЖ 15% 40 гр (30),4810073009161,шт,265
Сырок творож. глазирован Kurab'ye МДЖ 23% 65 гр (20),4810073008454,шт,515
Сырок творож. глазирован. Моя столица на бискв. с наполн Ром МДЖ 23% 65 гр (20),4810073008423,шт,525
Сырок творож. глазирован.на венской вафле МАЛИНА МДЖ 23 % 65 гр (20),4810073009093,шт,515
Сырок творож. глазирован. на венской вафле ТРЮФЕЛЬ МДЖ 23% 65 гр (20),4810073007259,шт,515
Сырок творож. глазирован. Пражский МДЖ 23% 65 гр (20),4810073007495,шт,425
Сырок творож. глаз.на венской вафле ЧЕРНИКА МДЖИ 23% 65 гр (20),4810073007235,шт,515
"Биойогурт клубника-банан со злаками, 1.5%, пюрпак, 450 гр.",4870005358958,шт,575
"Биойогурт малина со злаками, 1.5%, пюрпак, 450 гр.",4870005358965,шт,575
"Биойогурт чернослив со злаками, 1.5%, пюрпак, 450 гр.",4870005359207,шт,550
"Воздушное суфле клубника-шоколад 2,5% пэт стакан 160 гр.",4870005359399,шт,540
"Воздушное суфле Какос-шоколад 2,5% пэт стакан 160 гр.",4870005359382,шт,540
"Йогурт ложковый Эмиль клубника 2,5% стакан 275 гр",4870005359368,шт,510
"Йогурт ложковый Эмиль малина 2,5% стакан 275 гр",4870005359351,шт,510
"Йогурт питьевой Эмиль вишня-черешня 1,5% пэт бут 900 гр",4870005359580,шт,775
"Йогурт питьевой Эмиль Клубника 1,5% пэт бут 900 гр",4870005357241,шт,830
"Йогурт питьевой Эмиль малина 1,5% пэт бутылка 900 гр",4870005357401,шт,830
"Кефир, 2,5%, пюрпак, 450 гр.",4870005359009,шт,480
"Кефир, 2.5%, пюрпак, 900 гр.",4870005358996,шт,770
"Крепыш, 2.5%, пюрпак, 450 гр.",4870005359160,шт,565
"Масло сливочное Крестьянское, 72.5%, контейнер, 200 гр.",4870005350587,шт,"1,420"
"Масло сливочное Крестьянское, 72.5%, фасованное 200 гр.",4870005350585,кг,"5,510"
"Ряженка, 2.5%, пюрпак, 450 гр.",4870005359177,шт,450
"Ряженка, 2.5%, пюрпак, 900 гр.",4870005359016,шт,790
"Сметана ""Домашняя"", 25%,п/стакан, 280 гр.",4870005359283,шт,"1,125"
"Сметана из топленых сливок, 15%, п/стакан, 380 гр.",4870005357111,шт,910
"Сметана, 15% п/стакан, 180 гр.",4870005359214,шт,615
"Сметана, 15%, п/стакан, 380 гр.",4870005350488,шт,875
"Снежок, 2.5%, Эмиль пюрпак, 450 гр.",4870005359023,шт,570
"Творог Кр фольга, 180 вянский, 5%,",4870005359108,шт,600
"Творог, 5%, п/мешок, 380 гр.",4870005359061,шт,"1,160"
"Творожная масса клубника, 4.5%, п/стакан, 180 гр.",4870005359566,шт,580
"Творожная масса малина, 4.5%, п/стакан, 180 гр.",4870005359573,шт,580
"Творожная масса с ванилином, 4.5%, п/стакан, 180 гр.",4870005352840,шт,585
"Творожная масса с вареной сгущенкой и мюсли, 4.5%, п/стакан 180 гр.",4870005359436,шт,580
"Творожная масса с грецким орехом, 4.5%, п/стакан, 180 гр.",4870005352864,шт,580
"Творожная масса с изюмом, 4.5%, п/стакан, 180 гр.",4870005352857,шт,585
"Творожная масса с курагой, 4.5%, п/стакан, 180 гр.",4870005352888,шт,585
Творожный десерт клубника 10% 165 гр пэт стакан,4870005359344,шт,515
Творожный десерт малина 10% 165 гр пэт стакан,4870005359320,шт,515
Творожный десерт черника 10% 165 гр пэт стакан,4870005359337,шт,515
"Токтамыш, 2.5%, пюрпак, 450 гр.",4870005359047,шт,570
"Токтамыш, 2.5%, пюрпак, 900 гр.",4870005359030,шт,860
"Молоко Мое 2,5% 0,95 литр",4870001154462,шт,725
"Молоко Мое 3,2% 0,95 литр",4870001154479,шт,855
"Молоко Мое Безлактоз 2,5% 0,95 литр",4870002329722,шт,990
Сыр чечел вес,2500209230010,шт,"4,030"
"кефир 2,5 %, 0,450 кг. п\п Натиже",4870003750273,шт,265
"кефир 2,5 %, 1 кг. ф\п Натиже",4870003751065,шт,
"кефир ""Classic"" 2,5%, 0,9 кг.Натиже",4870003751485,шт,495
"кефир ""Protein"" 1 %, 0,9 кг.Натиже",4870003751492,шт,
"Айран турецкий 1,4% 0,25 кг KOKSHE milk Натиже",4870003750990,шт,
"Молоко 2,2%  0,9 л ф/п Натиже",4870003750358,шт,
"Молоко 3,2% 0,9 л  ф/п  Кокшетау Натиже",4870003750983,шт,
"Ацидофилин 1,5 %, 0,9 кг.Натиже",4870003751355,шт,640
"Йогурт клубника-малина 1,5 %, 0,45 кг.Натиже",4870003751300,шт,355
"Йогурт персик-абрикос 1,5 %, 0,45 кг.Натиже",4870003751331,шт,
"Йогурт со вкусом манго - маракуйя 1,5% 0,45 кг п/п Натиже",4870003752932,шт,
"MIO-E с вит. Злаки-Отруби 1,5 % 0,45 кг. Натиже",4870003750808,шт,
"MIO-B с вит. Клубника 1,5% 0,45 кг.Натиже",4870003750860,шт,
"MIO-C с вит. Персик-Маракуйя 1,5% 0,45 кг. Натиже",4870003750822,шт,
"MIO-D с вит. чернослив-Орех 1,5 % 0,45 кг. Натиже",4870003751096,шт,
"MIO-S смородина - малина - ромашка 1,5 %  0,45 кг п/п Натиже",4870003752949,шт,
"Живой йогурт со вкусом малины 1,5% 0,9 кг п/п Натиже",4870003752604,шт,640
"Живой йогурт со вкусом манго - маракуйя 1,5% 0,9 кг п/п Натиже",4870003752710,шт,640
"Живой йогурт мадагаскарская ваниль с витамином  1,5% 0,9 кг п/п Натиже",4870003753090,шт,
"MIOS смородина - малина - ромашка 1,5 % 0.9 кг п/п, шт Натиже",4870003753106,шт,
"MIOS злаки-отруби 1,5 %  0,9 кг п/п, шт Натиже",4870003753113,шт,
"Нарине-L 1,5 %, 0,45 кг.Натиже",4870003751089,шт,
"Снежок 1,5 %, 0,45 кг.Натиже",4870003750150,шт,
"Снежок 1,5 %, 0,9 кг.Натиже",4870003750037,шт,640
"Сметана 10%, 360 гр Натиже",4870003753243,шт,
"Сметана 15 %, 180 гр.Натиже",4870003750129 2575002590012,шт,395
"Сметана 15 %, 360 гр.Натиже",4870003750259,шт,655
"Сметана 15 %, 500 гр.Натиже",4870003750112,шт,
"Сметана 20 %, 180 гр.Натиже",4870003750570,шт,420
"Сметана 20 %, 360 гр.Натиже",4870003751195,шт,705
"Сметана 20 %, 500 гр. Натиже",4870003750495,шт,
"Творог ""Крестьянский"" 4 %, 200 гр.Натиже",4870003750556,шт,575
