file,symbology,barcode,status
IMG_7106.HEIC,EAN13,4870144474748,ok
IMG_7105(1).HEIC,EAN13,4870144474748,ok
IMG_7105.HEIC,EAN13,4870144474748,ok
IMG_7108(1).HEIC,EAN13,4870144476544,ok
IMG_7108.HEIC,EAN13,4870144476544,ok
IMG_7107(1).HEIC,,,not_found
IMG_7107.HEIC,,,not_found
IMG_7109(1).HEIC,,,not_found
IMG_7109.HEIC,,,not_found
IMG_7110(1).HEIC,EAN13,4870002329234,ok
IMG_7110.HEIC,EAN13,4870002329234,ok
IMG_7112(1).HEIC,EAN13,4870144475967,ok
IMG_7112.HEIC,EAN13,4870144475967,ok
IMG_7111(1).HEIC,,,not_found
IMG_7111.HEIC,,,not_found
IMG_7114(1).HEIC,EAN13,4870144476490,ok
IMG_7114.HEIC,EAN13,4870144476490,ok
IMG_7113(1).HEIC,,,not_found
IMG_7113.HEIC,,,not_found
IMG_7116(1).HEIC,EAN13,4870144475943,ok
IMG_7116.HEIC,EAN13,4870144475943,ok
IMG_7115(1).HEIC,DataBar,69701663680426,ok
IMG_7115.HEIC,DataBar,69701663680426,ok
IMG_7117(1).HEIC,DataBar,53834958205413,ok
IMG_7117.HEIC,DataBar,53834958205413,ok
IMG_7118(1).HEIC,EAN13,4870144476308,ok
IMG_7118.HEIC,EAN13,4870144476308,ok
IMG_7120(1).HEIC,EAN13,4870144475790,ok
IMG_7120.HEIC,EAN13,4870144475790,ok
IMG_7119(1).HEIC,,,not_found
IMG_7119.HEIC,,,not_found
IMG_7123(1).HEIC,EAN13,4605825003807,ok
IMG_7123.HEIC,EAN13,4605825003807,ok
IMG_7122(1).HEIC,,,not_found
IMG_7122.HEIC,,,not_found
IMG_7124(1).HEIC,,,not_found
IMG_7124.HEIC,,,not_found
IMG_7125(1).HEIC,EAN13,4604248005269,ok
IMG_7125.HEIC,EAN13,4604248005269,ok
IMG_7127(1).HEIC,EAN13,4870235040241,ok
IMG_7127.HEIC,EAN13,4870235040241,ok
IMG_7126(1).HEIC,,,not_found
IMG_7126.HEIC,,,not_found
IMG_7128(1).HEIC,,,not_found
IMG_7128.HEIC,,,not_found
IMG_7129(1).HEIC,EAN13,4605825003753,ok
IMG_7129.HEIC,EAN13,4605825003753,ok
IMG_7131(1).HEIC,EAN13,4870004933859,ok
IMG_7131.HEIC,EAN13,4870004933859,ok
IMG_7130(1).HEIC,,,not_found
IMG_7130.HEIC,,,not_found
IMG_7133(1).HEIC,EAN13,4870004933873,ok
IMG_7133.HEIC,EAN13,4870004933873,ok
IMG_7132(1).HEIC,,,not_found
IMG_7132.HEIC,,,not_found
IMG_7135(1).HEIC,EAN13,4604248019051,ok
IMG_7135.HEIC,EAN13,4604248019051,ok
IMG_7134(1).HEIC,,,not_found
IMG_7134.HEIC,,,not_found
IMG_7137(1).HEIC,EAN13,4870001901806,ok
IMG_7137.HEIC,EAN13,4870001901806,ok
IMG_7136(1).HEIC,,,not_found
IMG_7136.HEIC,,,not_found
IMG_7139(1).HEIC,EAN13,4607002995943,ok
IMG_7139.HEIC,EAN13,4607002995943,ok
IMG_7138(1).HEIC,,,not_found
IMG_7138.HEIC,,,not_found
IMG_7141.HEIC,EAN13,4607002999323,ok
IMG_7141(1).HEIC,EAN13,4607002999323,ok
IMG_7140(1).HEIC,,,not_found
IMG_7140.HEIC,,,not_found
IMG_7142.HEIC,,,not_found
IMG_7142(1).HEIC,,,not_found
IMG_7143(1).HEIC,,,not_found
IMG_7143.HEIC,,,not_found
IMG_7145(1).HEIC,EAN13,4630038371023,ok
IMG_7145.HEIC,EAN13,4630038371023,ok
IMG_7144.HEIC,,,not_found
IMG_7144(1).HEIC,,,not_found
IMG_7147(1).HEIC,EAN13,4607002995905,ok
IMG_7147.HEIC,EAN13,4607002995905,ok
IMG_7146(1).HEIC,,,not_found
IMG_7146.HEIC,,,not_found
IMG_7149(1).HEIC,EAN13,4607002990290,ok
IMG_7149.HEIC,EAN13,4607002990290,ok
IMG_7148.HEIC,,,not_found
IMG_7148(1).HEIC,,,not_found
IMG_7151(1).HEIC,EAN13,4607002999910,ok
IMG_7151.HEIC,EAN13,4607002999910,ok
IMG_7150(1).HEIC,,,not_found
IMG_7150.HEIC,,,not_found
IMG_7153(1).HEIC,EAN13,4607002999767,ok
IMG_7153.HEIC,EAN13,4607002999767,ok
IMG_7152(1).HEIC,,,not_found
IMG_7152.HEIC,,,not_found
IMG_7154(1).HEIC,,,not_found
IMG_7154.HEIC,,,not_found
IMG_7155(1).HEIC,,,not_found
IMG_7155.HEIC,,,not_found
IMG_7156(1).HEIC,,,not_found
IMG_7156.HEIC,,,not_found
IMG_7157(1).HEIC,,,not_found
IMG_7157.HEIC,,,not_found
IMG_7159(1).HEIC,EAN13,4607002999309,ok
IMG_7159.HEIC,EAN13,4607002999309,ok
IMG_7158(1).HEIC,,,not_found
IMG_7158.HEIC,,,not_found
IMG_7161(1).HEIC,EAN13,4870001905477,ok
IMG_7161.HEIC,EAN13,4870001905477,ok
IMG_7160(1).HEIC,,,not_found
IMG_7160.HEIC,,,not_found
IMG_7163(1).HEIC,EAN13,4870001901783,ok
IMG_7163.HEIC,EAN13,4870001901783,ok
IMG_7162(1).HEIC,,,not_found
IMG_7162.HEIC,,,not_found
IMG_7165(1).HEIC,EAN13,4870200193545,ok
IMG_7165.HEIC,EAN13,4870200193545,ok
IMG_7164(1).HEIC,,,not_found
IMG_7164.HEIC,,,not_found
IMG_7167(1).HEIC,EAN13,4870001900014,ok
IMG_7167.HEIC,EAN13,4870001900014,ok
IMG_7166(1).HEIC,,,not_found
IMG_7166.HEIC,,,not_found
IMG_7169(1).HEIC,EAN13,4870001906238,ok
IMG_7169.HEIC,EAN13,4870001906238,ok
IMG_7168(1).HEIC,,,not_found
IMG_7168.HEIC,,,not_found
IMG_7171(1).HEIC,EAN13,4670025500357,ok
IMG_7171.HEIC,EAN13,4670025500357,ok
IMG_7170(1).HEIC,,,not_found
IMG_7170.HEIC,,,not_found
IMG_7173(1).HEIC,EAN13,4870001901769,ok
IMG_7173.HEIC,EAN13,4870001901769,ok
IMG_7172.HEIC,,,not_found
IMG_7172(1).HEIC,,,not_found
IMG_7175(1).HEIC,EAN13,4870001902384,ok
IMG_7175.HEIC,EAN13,4870001902384,ok
IMG_7174(1).HEIC,,,not_found
IMG_7174.HEIC,,,not_found
IMG_7177(1).HEIC,EAN13,4870001901882,ok
IMG_7177.HEIC,EAN13,4870001901882,ok
IMG_7176(1).HEIC,,,not_found
IMG_7176.HEIC,,,not_found
IMG_7179(1).HEIC,EAN13,4870001901806,ok
IMG_7179.HEIC,EAN13,4870001901806,ok
IMG_7178(1).HEIC,,,not_found
IMG_7178.HEIC,,,not_found
IMG_7181(1).HEIC,EAN13,4870001902384,ok
IMG_7181.HEIC,EAN13,4870001902384,ok
IMG_7180(1).HEIC,,,not_found
IMG_7180.HEIC,,,not_found
IMG_7183(1).HEIC,EAN13,4870004930674,ok
IMG_7183.HEIC,EAN13,4870004930674,ok
IMG_7182(1).HEIC,,,not_found
IMG_7182.HEIC,,,not_found
IMG_7185(1).HEIC,EAN13,4870004933828,ok
IMG_7185.HEIC,EAN13,4870004933828,ok
IMG_7184(1).HEIC,,,not_found
IMG_7184.HEIC,,,not_found
IMG_7187(1).HEIC,EAN13,4870004930841,ok
IMG_7187.HEIC,EAN13,4870004930841,ok
IMG_7186(1).HEIC,,,not_found
IMG_7186.HEIC,,,not_found
IMG_7189(1).HEIC,EAN13,4870004931121,ok
IMG_7189.HEIC,EAN13,4870004931121,ok
IMG_7188(1).HEIC,,,not_found
IMG_7188.HEIC,,,not_found
IMG_7191(1).HEIC,EAN13,4870004930605,ok
IMG_7191.HEIC,EAN13,4870004930605,ok
IMG_7190(1).HEIC,,,not_found
IMG_7190.HEIC,,,not_found
IMG_7193(1).HEIC,EAN13,4870004930117,ok
IMG_7193.HEIC,EAN13,4870004930117,ok
IMG_7192(1).HEIC,,,not_found
IMG_7192.HEIC,,,not_found
IMG_7195(1).HEIC,EAN13,4870004930841,ok
IMG_7195.HEIC,EAN13,4870004930841,ok
IMG_7194(1).HEIC,,,not_found
IMG_7194.HEIC,,,not_found
IMG_7197(1).HEIC,EAN13,4870004930032,ok
IMG_7197.HEIC,EAN13,4870004930032,ok
IMG_7199(1).HEIC,EAN13,4870004931145,ok
IMG_7199.HEIC,EAN13,4870004931145,ok
IMG_7196(1).HEIC,,,not_found
IMG_7196.HEIC,,,not_found
IMG_7203(1).HEIC,EAN13,4870004936324,ok
IMG_7203.HEIC,EAN13,4870004936324,ok
IMG_7202(1).HEIC,,,not_found
IMG_7202.HEIC,,,not_found
IMG_7204(1).HEIC,,,not_found
IMG_7205(1).HEIC,EAN13,4870004931107,ok
IMG_7204.HEIC,,,not_found
IMG_7205.HEIC,EAN13,4870004931107,ok
IMG_7207(1).HEIC,EAN13,4870004933880,ok
IMG_7207.HEIC,EAN13,4870004933880,ok
IMG_7206.HEIC,,,not_found
IMG_7206(1).HEIC,,,not_found
IMG_7209(1).HEIC,EAN13,4870004933903,ok
IMG_7209.HEIC,EAN13,4870004933903,ok
IMG_7208(1).HEIC,,,not_found
IMG_7208.HEIC,,,not_found
IMG_7211.HEIC,EAN13,4870004930513,ok
IMG_7211(1).HEIC,EAN13,4870004930513,ok
IMG_7210.HEIC,,,not_found
IMG_7210(1).HEIC,,,not_found
IMG_7213(1).HEIC,EAN13,4870004930018,ok
IMG_7213.HEIC,EAN13,4870004930018,ok
IMG_7212.HEIC,,,not_found
IMG_7212(1).HEIC,,,not_found
